Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Relative Humidity [%](TimeStep),Environment:Site Wind Speed [m/s](TimeStep),Environment:Site Wind Direction [deg](TimeStep),Environment:Site Sky Temperature [C](TimeStep),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](TimeStep),Environment:Site Direct Solar Radiation Rate per Area [W/m2](TimeStep),Environment:Site Ground Temperature [C](TimeStep),Environment:Site Outdoor Air Enthalpy [J/kg](TimeStep),Environment:Site Outdoor Air Density [kg/m3](TimeStep),Environment:Site Rain Status [](TimeStep),BLOCK1:ZONE4:Zone Mean Air Temperature [C](TimeStep:ON),BLOCK1:ZONE3:Zone Mean Air Temperature [C](TimeStep:ON),BLOCK1:ZONE7:Zone Mean Air Temperature [C](TimeStep:ON),BLOCK1:ZONE6:Zone Mean Air Temperature [C](TimeStep:ON),BLOCK1:ZONE5:Zone Mean Air Temperature [C](TimeStep:ON),BLOCK1:ZONE1:Zone Mean Air Temperature [C](TimeStep:ON),BLOCK1:ZONE2:Zone Mean Air Temperature [C](TimeStep:ON),BLOCK6:ZONE1:Zone Mean Air Temperature [C](TimeStep:ON),PEOPLE BLOCK1:ZONE4:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON),PEOPLE BLOCK1:ZONE3:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON),PEOPLE BLOCK1:ZONE7:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON),PEOPLE BLOCK1:ZONE6:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON),PEOPLE BLOCK1:ZONE5:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON),PEOPLE BLOCK1:ZONE1:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON),PEOPLE BLOCK1:ZONE2:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON),PEOPLE BLOCK6:ZONE1:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON) 
 01/01  21:00:00,18.0,77.0,1.5,270.0,4.306433483985984,0.0,0.0,24.18,43547.92489318854,1.177721835680087,0.0,21.54581341092068,20.267637895802353,20.429477895794454,20.199203936117056,21.321335777679804,21.217660462516457,20.93469927997457,20.905005979176225,-1.4286406389282487,-4.57447635551468,-2.0809181940234384,-4.597171132655461,-1.3059711196609259,-1.475704811544013,-1.5983989191966606,-1.3527919747016247 
 01/01  22:00:00,17.9,77.0,1.6,270.0,4.306433483985984,0.0,0.0,24.18,43283.28379231729,1.1782458660945719,0.0,21.215285229018883,20.361690539786986,20.14971282016506,20.264785827998556,21.0498021716665,21.056307543973877,20.69782975544932,20.57778499410914,-1.4432674542382982,-4.636635221845327,-2.1660598049586468,-4.656235289531136,-1.3949980690616122,-1.5458706908141547,-1.5782126315591405,-1.4599083035304759 
 01/01  23:00:00,17.8,77.0,1.7,270.0,4.099761881760685,0.0,0.0,24.18,43019.59219314941,1.1787695994807755,0.0,21.12267253358832,20.215122585379658,20.03362180103372,20.11362098864489,20.905726383688639,20.93653152824052,20.5938627281758,20.394724365211649,-1.5397239291791687,-4.612934955739264,-2.2566393396195809,-4.641714966671939,-1.4784954015769963,-1.5902669148973812,-1.636262698733785,-1.5890465477747425 
 01/01  24:00:00,17.7,77.0,1.8,270.0,3.89262706263969,0.0,0.0,24.18,42731.50560749447,1.180491016007277,0.0,20.998198943819746,20.144583475830858,19.907757425479333,20.039753791898105,20.763698981896597,20.8254724122764,20.502717128290919,20.237673736865405,-1.5935204143272304,-4.667649470810887,-2.3101223997808075,-4.698943363296698,-1.537366047867638,-1.629179465921369,-1.6735991568661793,-1.6805497592626995 
 01/02  01:00:00,17.6,77.0,1.9,270.0,3.89262706263969,0.0,0.0,24.18,42469.86449192239,1.181014575649281,0.0,20.911976164223665,20.09079282730162,19.83126923661724,21.40430958055573,20.63692592591751,20.728191975802014,20.597545548328428,20.12367726783981,-1.6504166712867723,-4.704215323120836,-2.3652791801580106,-4.737238222502636,-1.5955957359389866,-1.6677572234339578,-1.709264793982486,-1.7589352261400307 
 01/02  02:00:00,17.4,77.0,2.0,270.0,3.6850265968540727,0.0,0.0,24.18,41949.380386503806,1.1820608311139068,0.0,21.025052241147298,20.06352093382932,19.74473979542645,20.254763355480877,20.529130925144388,20.639551571369407,20.768344053193535,20.018998702708335,-1.697298323803488,-4.735476222870566,-2.4071822925955166,-4.323588963988852,-1.6513502200308275,-1.7037760586927815,-1.704238647474881,-1.8211718943267077 
 01/02  03:00:00,17.3,77.0,2.1,270.0,3.4769580345465558,0.0,0.0,24.18,41690.52622934968,1.1825835335184352,0.0,20.906321045812008,19.941525021944135,19.626719455586057,21.317733418110778,20.432386577626035,20.555556866612379,20.629227043548555,19.92832553790081,-1.7068810402124144,-4.762417208480885,-2.4538129480043326,-4.682866999408398,-1.704560303529634,-1.740374193520551,-1.6900300705411069,-1.8794863094860844 
 01/02  04:00:00,17.2,77.0,2.2,270.0,3.4769580345465558,0.0,0.0,24.18,41408.12270882541,1.184305996058987,0.0,20.923448289151375,20.398015118721319,19.506504256928478,19.968318646691566,20.253059741592304,20.41345492556306,20.799035020639839,19.738633513629507,-1.7554615136697068,-4.816195937395491,-2.5037165649765065,-4.364635775841922,-1.7512617885837776,-1.7729964922164523,-1.730709712086225,-1.927773634886251 
 01/02  05:00:00,17.1,77.0,2.3,270.0,3.268418905544422,0.0,0.0,24.18,41151.26346916448,1.1848285540551507,0.0,20.890463294111048,20.42788448045448,19.39564814277178,20.475382578065493,20.127058598717367,20.30872503402545,20.928771966917119,19.6141023609042,-1.7787261684941088,-4.706769730180524,-2.5555776349168837,-4.780542890193586,-1.8163152080681063,-1.819569412503791,-1.7166700228201235,-1.9957737630225617 
 01/02  06:00:00,17.0,77.0,2.4,270.0,3.268418905544422,0.0,0.0,24.18,40895.31456868788,1.1853508363867389,0.0,20.9099050835893,20.25479552336612,19.289065625335725,20.473716148944406,19.997204890757236,20.199591437148848,21.00461971948241,19.484937072884699,-1.8083628100179914,-4.714931074152666,-2.6041388025040836,-4.645790396599577,-1.8688305390677385,-1.8574569352473827,-1.7069791635268757,-2.0477478334337899 
