Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Relative Humidity [%](TimeStep),Environment:Site Wind Speed [m/s](TimeStep),Environment:Site Wind Direction [deg](TimeStep),Environment:Site Sky Temperature [C](TimeStep),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](TimeStep),Environment:Site Direct Solar Radiation Rate per Area [W/m2](TimeStep),Environment:Site Ground Temperature [C](TimeStep),Environment:Site Outdoor Air Enthalpy [J/kg](TimeStep),Environment:Site Outdoor Air Density [kg/m3](TimeStep),Environment:Site Rain Status [](TimeStep),BLOCK1:ZONE4:Zone Mean Air Temperature [C](TimeStep:ON),BLOCK1:ZONE3:Zone Mean Air Temperature [C](TimeStep:ON),BLOCK1:ZONE7:Zone Mean Air Temperature [C](TimeStep:ON),BLOCK1:ZONE6:Zone Mean Air Temperature [C](TimeStep:ON),BLOCK1:ZONE5:Zone Mean Air Temperature [C](TimeStep:ON),BLOCK1:ZONE1:Zone Mean Air Temperature [C](TimeStep:ON),BLOCK1:ZONE2:Zone Mean Air Temperature [C](TimeStep:ON),BLOCK6:ZONE1:Zone Mean Air Temperature [C](TimeStep:ON),PEOPLE BLOCK1:ZONE4:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON),PEOPLE BLOCK1:ZONE3:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON),PEOPLE BLOCK1:ZONE7:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON),PEOPLE BLOCK1:ZONE6:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON),PEOPLE BLOCK1:ZONE5:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON),PEOPLE BLOCK1:ZONE1:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON),PEOPLE BLOCK1:ZONE2:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON),PEOPLE BLOCK6:ZONE1:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON) 
 01/02  06:00:00,17.0,77.0,2.4,270.0,3.268418905544422,0.0,0.0,24.18,40895.31456868788,1.1853508363867389,0.0,22.24456534378153,21.74389057579987,23.983072904543655,21.148634790866468,23.667019848738478,23.480126119692778,22.87996919576369,23.735231565255526,-1.6426405066808918,-4.433867640294039,-1.2995252094122685,-4.451773352832899,-0.9968378632472518,-1.0644159589493248,-1.3784826721050257,-0.9285367269903636 
 01/02  07:00:00,18.0,73.0,2.3,270.0,4.099761881760685,35.0,502.0,24.18,42156.174828743344,1.1811034955000644,0.0,22.23096570620671,21.842532379061049,23.13675679131214,21.935310233501409,23.074689120003709,23.057909269174457,22.72481272504842,23.07934624300314,-1.4703727211174958,-4.227876655491574,-1.2805050393127029,-4.397044698291413,-0.9703717493366452,-0.9909125385122993,-1.2108600905091536,-0.9366605966462915 
 01/02  08:00:00,19.0,68.0,2.2,270.0,5.128535628668999,57.0,763.0,24.18,42976.9585561544,1.1772089596907345,0.0,20.223728166893687,21.272898396714557,20.251039456660359,20.4674835072295,20.836802582605256,20.334263915045395,20.780982354708358,20.46652210624323,-1.3986812007545815,-4.190369203636357,-1.4622035341185116,-4.153652556678515,-1.0575929139319014,-1.0189730161005056,-1.2211106651884934,-1.0347095589949889 
 01/02  09:00:00,20.0,64.0,2.1,90.0,5.94341561115192,78.0,875.0,24.18,44061.46091228938,1.1719769304734667,0.0,20.773031345270164,22.218647512802915,21.011287701862036,21.63860970296815,21.460148757016876,20.78287265293986,21.126423859174517,21.196316874657687,-1.710903278801554,-4.355133390702967,-2.1224266618664164,-4.599316547555712,-1.4683563513805698,-1.5256024790299144,-1.5865111719405314,-1.548901378328664 
 01/02  10:00:00,21.0,60.0,2.0,90.0,6.952081907257593,93.0,919.0,24.18,45014.98750392672,1.1680428017372396,0.0,21.696298891007048,22.78626132929174,21.834311321031366,22.220091047624096,22.214669588036874,21.597278696770024,22.330053939373259,22.055300241125658,-1.5485440157535123,-4.063962275824512,-1.9334473708336959,-4.238645110770979,-1.281116953928619,-1.4311433174061997,-1.5070998101289158,-1.3208489448899475 
 01/02  11:00:00,22.0,57.0,1.9,90.0,9.329398990383425,101.0,888.0,24.18,46280.02072565495,1.163909341787394,0.0,22.598780669262596,23.420873397364177,22.706101364106748,22.93137946700339,23.057135994832078,22.42887712420179,23.40190860604839,22.976882893598306,-1.3294042637882429,-3.8799535564100546,-1.7182997496660624,-4.047206966642627,-1.069083174124085,-1.273224135541937,-1.2530742092456895,-1.0472714659572629 
 01/02  12:00:00,23.0,53.0,1.8,90.0,10.30247367791759,107.0,940.0,24.18,47033.99351059083,1.159014152208067,0.0,23.41719380041959,23.77191658289414,23.481599711287865,23.53618051884652,23.770281988896337,23.15910935844471,24.289854536402705,23.88205835569173,-1.118008452026265,-3.6628298840094275,-1.4770528083210788,-3.8106119183853934,-0.8227519052361187,-1.1059753131902242,-1.006733649507691,-0.7442178985448061 
 01/02  13:00:00,24.0,50.0,1.7,90.0,12.219097197280235,159.0,906.0,24.18,48105.741980335406,1.1550781964232786,0.0,23.809723766456178,24.17054257019918,24.18453801403648,24.029330291011978,24.51549568651397,23.92921276141647,24.4133286052818,24.790774785264746,-0.9311223544466009,-3.527250850635861,-1.2541643987094087,-3.6020931763466508,-0.5926174859575408,-0.9495863813033245,-0.787379479161286,-0.4445001438252176 
 01/02  14:00:00,25.0,47.0,1.6,90.0,13.163103132537004,107.0,927.0,24.18,49078.59877578408,1.1512394761214556,0.0,24.103913233596186,24.596281983237629,24.963763657855308,24.330169710863144,25.30989223929341,24.505004844632816,24.720005548216347,25.829602978309148,-0.8188799551466655,-3.371588859462785,-1.041389409943235,-3.4163127261403818,-0.3829223467625528,-0.77713086539565,-0.7182802539061319,-0.14736177584455013 
 01/02  15:00:00,26.0,45.0,1.5,90.0,14.839153853901621,115.0,858.0,24.18,50515.92321758071,1.1459482524609129,0.0,24.326332263309359,25.037208109861653,25.435124908504965,24.541829347984945,26.01030860023573,24.438545131049133,24.615716136463307,26.99422381465788,-0.7234647187744945,-3.2065534460296698,-0.8138772078540558,-3.2840901601466849,-0.1798386244521317,-0.6345812110768366,-0.6152557962247179,0.16236794718106976 
