Hora,Temperature,Wind_Speed,Wind_Direction,Humidity,Air_Density,Rain_Status,Solteiro_PMV,Solteiro_Temp,Circulacao_PMV,Circulacao_Temp,JanelaSolteiroNorte,PortaSolteiroSul,JanelaSolteiroSul
6.0,19.0,1.0,50.0,84.0,1.17182239676,0.0,-3.56212766689,22.4803215512,-0.821203175213,22.6636291479,0.509999990463,0.0,0.490000009537
7.0,20.5,1.2,50.0,79.0,1.16513042579,0.0,-3.32178364578,23.1383658329,-0.807617133674,22.1468965387,0.509999990463,0.0,0.479999989271
8.0,22.0,1.5,180.0,73.0,1.15891382483,0.0,-3.10395880007,24.1371007224,-0.893379690211,23.4567345369,0.5,0.0,0.479999989271
9.0,23.5,1.8,180.0,68.0,1.15142069476,0.0,-2.79324998952,24.994843132,-0.623895807325,24.3108150254,0.5,0.0,0.479999989271
10.0,25.0,2.0,180.0,64.0,1.14494319508,0.0,-2.50630534311,25.8901229967,-0.41967229353,25.2436282109,0.5,0.0,0.479999989271
11.0,26.5,2.3,180.0,60.0,1.13746703655,0.0,-2.19635320848,25.9951211173,-0.189584723486,25.6019022121,0.5,0.0,0.479999989271
12.0,28.0,2.6,180.0,56.0,1.13134221428,0.0,-2.11512032105,25.9882408933,-0.072772578929,25.8344321061,0.5,0.0,0.479999989271
13.0,29.5,2.8,180.0,52.0,1.1254206008,0.0,-2.08373660395,25.9755226543,-0.00146197647897,26.733553624,0.5,0.0,0.479999989271
14.0,31.0,3.1,140.0,49.0,1.11806409533,0.0,-2.06292280106,25.9360032882,0.206706816836,31.6864127396,0.5,0.0,0.479999989271
15.0,30.0,3.4,140.0,51.0,1.12333304745,0.0,-2.04065698042,25.9888133997,1.28590492657,31.5615266667,0.5,0.0,0.479999989271
16.0,29.0,3.8,140.0,52.0,1.12798684554,0.0,-1.97963980493,25.9395956486,1.32359293181,31.2417453057,0.5,0.0,0.479999989271
17.0,28.0,4.1,140.0,55.0,1.13177981751,0.0,-1.97123836967,26.0713789299,1.27607452049,29.8437147011,0.5,0.0,0.479999989271
18.0,27.0,4.4,140.0,57.0,1.13609434882,0.0,-1.90599029987,25.9695444624,1.00664898929,28.1551512202,0.5,0.0,0.479999989271
19.0,26.0,4.8,140.0,59.0,1.14162894679,0.0,-1.91620786956,26.0091919895,0.657803675785,26.9206091535,0.5,0.0,0.479999989271
20.0,25.0,5.1,90.0,61.0,1.1460543035,0.0,-1.89324423549,26.0221224129,0.397138347388,25.8278262758,0.5,0.0,0.479999989271
21.0,24.2,4.8,90.0,63.0,1.14948780551,0.0,-1.88254045243,26.014762081,0.153968171114,25.1270659013,0.5,0.0,0.479999989271
22.0,23.3,4.6,90.0,65.0,1.15465970037,0.0,-1.87667376964,25.5778548015,-0.00442802865717,24.2236291699,0.5,0.0,0.479999989271
23.0,22.5,4.3,90.0,68.0,1.15785723945,0.0,-2.02050499136,25.4782319554,-0.216943329301,23.8942214909,0.5,0.0,0.479999989271
0.0,22.2,3.8,90.0,72.0,1.15462636059,0.0,-2.05878764238,25.2269793079,-0.312723332318,23.4747008596,0.5,0.0,0.479999989271
