Temperature,Wind_Speed,Wind_Direction,Humidity,Air_Density,Solteiro_PMV,Solteiro_Temp,Circulacao_PMV,Circulacao_Temp,JanelaSolteiroNorte,PortaSolteiroSul,JanelaSolteiroSul
28.0,4.1,140.0,55.0,1.13177981751,-1.97057814103,26.0715346663,1.27687749543,29.8467554348,0.5,0.0,0.490000009537
27.0,4.4,140.0,57.0,1.13609434882,-1.90530155007,25.9695654282,1.00745488392,28.1548395027,0.5,0.0,0.490000009537
26.0,4.8,140.0,59.0,1.14162894679,-1.91552219847,26.0092366803,0.657968882992,26.9203138521,0.5,0.0,0.490000009537
25.0,5.1,90.0,61.0,1.1460543035,-1.89255333231,26.0221983408,0.39728493238,25.8277487747,0.5,0.0,0.490000009537
24.2,4.8,90.0,63.0,1.14948780551,-1.88185770478,26.0125119565,0.154136350321,25.1267600865,0.5,0.0,0.490000009537
23.3,4.6,90.0,65.0,1.15465970037,-1.87675749563,25.5748030747,-0.00432776511574,24.2238150915,0.5,0.0,0.490000009537
22.5,4.3,90.0,68.0,1.15785723945,-2.02089640056,25.4721102053,-0.216789323308,23.8940475134,0.5,0.0,0.490000009537
22.2,3.8,90.0,72.0,1.15462636059,-2.0601677867,25.2198575964,-0.312645599098,23.4744031031,0.5,0.0,0.490000009537
22.0,3.4,90.0,76.0,1.15561611471,-2.12647633262,25.3355337959,-0.400839620498,23.470149524,0.5,0.0,0.490000009537
21.7,2.9,90.0,81.0,1.15568879407,-2.08489597476,25.4124190906,-0.416271801679,23.3674391797,0.5,0.0,0.490000009537
21.4,2.4,90.0,85.0,1.15611223323,-2.03318132546,25.4593026969,-0.428711976192,23.5341188717,0.5,0.0,0.490000009537
21.0,2.6,90.0,88.0,1.158607397,-1.99179670748,25.2705102673,-0.403739534235,23.2158769917,0.5,0.0,0.490000009537
20.6,2.9,90.0,91.0,1.15995300826,-2.04163158804,24.962715246,-0.476474247152,22.7352928872,0.5,0.0,0.490000009537
21.2,2.6,90.0,89.0,1.15601802743,-2.13200688334,25.1571371606,-0.574777577234,23.8779654953,0.5,0.0,0.490000009537
