Temperature,Wind_Speed,Wind_Direction,Humidity,Air_Density,Jardim_PMV,Jardim_Temp,Sala_PMV,Sala_Temp,Mezanino_PMV,Mezanino_Temp,PortaSalaNorte,JanelaSalaNorte,PortaSalaLeste,JanelaSalaSul,JanelaSalaOeste,PortaCozinhaLeste,JanelaCozinhaSul,JanelaMezaninoNorte,JanelaMezaninoSul,JanelaMezaninoOeste
23.5,1.0,90.0,55.0,1.15466907652,-0.327002871821,24.689652137,-0.884656546634,24.2290347231,0.208141159011,25.263616403,0.0,0.479999989271,0.490000009537,0.479999989271,0.469999998808,0.519999980927,0.5,0.5,0.509999990463,0.490000009537
22.7,0.8,90.0,59.0,1.15737755359,-0.419998450508,24.1641729008,-0.94438362041,23.5959711638,0.0646016271099,24.5231843302,0.0,0.479999989271,0.490000009537,0.479999989271,0.469999998808,0.509999990463,0.490000009537,0.5,0.509999990463,0.490000009537
21.8,0.7,90.0,64.0,1.15921020859,-0.568911159509,23.850082256,-1.11274436609,23.3243902668,-0.180353359129,24.0611139445,0.0,0.479999989271,0.490000009537,0.479999989271,0.469999998808,0.509999990463,0.490000009537,0.5,0.5,0.490000009537
21.0,0.5,140.0,69.0,1.16183712158,-0.663355685216,23.4100480116,-1.2037978963,22.7904163534,-0.375660390674,23.4413044902,0.0,0.479999989271,0.490000009537,0.479999989271,0.469999998808,0.509999990463,0.490000009537,0.5,0.509999990463,0.490000009537
20.4,0.5,140.0,71.0,1.16438213633,-0.774891547374,23.0199316,-1.33539803512,22.3266095438,-0.584053733358,22.9314228032,0.0,0.479999989271,0.490000009537,0.479999989271,0.469999998808,0.509999990463,0.490000009537,0.5,0.5,0.490000009537
19.8,0.5,140.0,73.0,1.1681449117,-0.880839587562,22.5416298111,-1.46399548287,21.8850558506,-0.764188758485,22.3588228546,0.0,0.479999989271,0.490000009537,0.479999989271,0.469999998808,0.509999990463,0.490000009537,0.5,0.5,0.490000009537
19.2,0.6,140.0,76.0,1.17048268975,-1.00985414167,22.2766398549,-1.59420622137,21.4565104343,-0.953429626083,21.9722712028,0.0,0.479999989271,0.490000009537,0.479999989271,0.469999998808,0.509999990463,0.479999989271,0.490000009537,0.5,0.490000009537
18.6,0.6,140.0,79.0,1.17286498826,-1.09939377755,21.7831053942,-1.72097470715,21.0154879014,-1.09962086403,21.4170766211,0.0,0.479999989271,0.490000009537,0.479999989271,0.469999998808,0.509999990463,0.479999989271,0.490000009537,0.5,0.490000009537
17.9,0.6,140.0,82.0,1.17701797951,-1.23207557338,21.3303108567,-1.8529308136,20.5089361759,-1.27224707041,20.8935266199,0.0,0.479999989271,0.490000009537,0.479999989271,0.469999998808,0.509999990463,0.479999989271,0.490000009537,0.5,0.490000009537
17.3,0.6,140.0,85.0,1.17948837789,-1.36270134838,20.9215287797,-2.00691402911,20.045961576,-1.4412706284,20.4123283514,0.0,0.479999989271,0.490000009537,0.479999989271,0.469999998808,0.509999990463,0.479999989271,0.490000009537,0.5,0.479999989271
