Temperature,Wind_Speed,Wind_Direction,Humidity,Air_Density,Casal_PMV,Casal_Temp,Circulacao_PMV,Circulacao_Temp,JanelaCasalNorte,PortaCasalOeste,JanelaCasalOeste
17.6,1.9,270.0,77.0,1.18101457565,-4.30840093584,21.0945565277,-1.41281021848,21.6371210096,0.40000000596,0.0,0.34999999404
17.4,2.0,270.0,77.0,1.18206083111,-4.34185031483,20.8188969377,-1.43058692784,22.3950745226,0.40000000596,0.0,0.34999999404
17.3,2.1,270.0,77.0,1.18258353352,-4.44088563756,20.7932886998,-1.29303416305,21.8911849972,0.40000000596,0.0,0.34999999404
17.2,2.2,270.0,77.0,1.18430599606,-4.46483400078,20.7089935296,-1.39576673281,21.8451624565,0.40000000596,0.0,0.34999999404
17.1,2.3,270.0,77.0,1.18482855406,-4.50566543224,21.8230162332,-1.41324368302,22.5829104432,0.389999985695,0.0,0.34999999404
17.0,2.4,270.0,77.0,1.18535083639,-4.17739918403,22.1227135367,-1.27968687708,22.8181760482,0.389999985695,0.0,0.34999999404
18.0,2.3,270.0,73.0,1.1811034955,-4.08920944182,22.1505334843,-1.21853479701,22.7440618604,0.389999985695,0.0,0.34999999404
19.0,2.2,270.0,68.0,1.17720895969,-4.07244048749,21.5566635466,-1.21317812228,20.8042787551,0.40000000596,0.0,0.34999999404
20.0,2.1,90.0,64.0,1.17197693047,-4.24369510238,22.4685781058,-1.57837907804,21.139795772,0.409999996424,0.0,0.379999995232
21.0,2.0,90.0,60.0,1.16804280174,-3.96318118221,23.0158808811,-1.50107229954,22.3419862398,0.409999996424,0.0,0.379999995232
22.0,1.9,90.0,57.0,1.16390934179,-3.78547776006,23.5248773873,-1.24742121449,23.4108050351,0.409999996424,0.0,0.379999995232
23.0,1.8,90.0,53.0,1.15901415221,-3.6059092059,23.8858430243,-1.00183071417,24.2709338379,0.409999996424,0.0,0.370000004768
24.0,1.7,90.0,50.0,1.15507819642,-3.46800823917,24.245533576,-0.789277629136,24.4202100636,0.409999996424,0.0,0.370000004768
25.0,1.6,90.0,47.0,1.15123947612,-3.32468697813,24.6471682791,-0.714003954618,24.724741832,0.409999996424,0.0,0.370000004768
26.0,1.5,90.0,45.0,1.14594825246,-3.16782204735,25.0565727325,-0.61153610766,24.6488552352,0.409999996424,0.0,0.379999995232
25.2,1.3,90.0,48.0,1.14871682953,-3.00112682185,24.9942290026,-0.590269883417,24.9671511644,0.409999996424,0.0,0.370000004768
24.3,1.2,90.0,52.0,1.15171219482,-2.97616896485,24.8765253305,-0.50001419848,24.512928289,0.40000000596,0.0,0.370000004768
23.5,1.0,90.0,55.0,1.15466907652,-2.96885298818,24.6698906154,-0.570973382716,24.1011543297,0.40000000596,0.0,0.370000004768
22.7,0.8,90.0,59.0,1.15737755359,-2.99843539045,24.4078970512,-0.651255084127,23.5730064926,0.40000000596,0.0,0.370000004768
21.8,0.7,90.0,64.0,1.15921020859,-3.04525442665,24.2362680866,-0.755680558573,23.8122318906,0.40000000596,0.0,0.370000004768
21.0,0.5,140.0,69.0,1.16183712158,-3.0603922669,23.9303994076,-0.709117922216,23.5875403435,0.40000000596,0.0,0.360000014305
20.4,0.5,140.0,71.0,1.16438213633,-3.11862727958,23.1359918561,-0.753367581423,23.5873436999,0.40000000596,0.0,0.360000014305
19.8,0.5,140.0,73.0,1.1681449117,-3.34674984531,22.8853347831,-0.757475701528,23.4235140257,0.40000000596,0.0,0.360000014305
19.2,0.6,140.0,76.0,1.17048268975,-3.42850262886,22.5714300708,-0.799441300571,23.1241537897,0.40000000596,0.0,0.360000014305
18.6,0.6,140.0,79.0,1.17286498826,-3.52700495843,22.2178754249,-0.867284604053,22.8442253453,0.40000000596,0.0,0.360000014305
17.9,0.6,140.0,82.0,1.17701797951,-3.64180024487,21.7859719317,-0.932481091103,22.4935249435,0.40000000596,0.0,0.360000014305
17.3,0.6,140.0,85.0,1.17948837789,-3.79076345621,21.4299427049,-1.01713296383,22.1918416126,0.40000000596,0.0,0.360000014305
16.7,0.7,140.0,87.0,1.18222615513,-3.91988035004,20.8704692101,-1.09295321729,22.4889194691,0.40000000596,0.0,0.360000014305
16.1,0.7,140.0,91.0,1.18574851234,-4.12238244724,20.4944442537,-1.04675393017,22.1945958898,0.40000000596,0.0,0.370000004768
15.5,0.7,140.0,94.0,1.18833281508,-4.25970509697,19.9546744751,-1.12278913911,22.3362694081,0.40000000596,0.0,0.370000004768
17.0,0.8,140.0,86.0,1.18205546787,-4.45150538645,20.9177718447,-1.0917114095,22.1275302774,0.40000000596,0.0,0.370000004768
18.5,0.9,140.0,79.0,1.17458816384,-4.17336474942,21.8079934719,-1.12651260029,21.019690188,0.40000000596,0.0,0.370000004768
20.0,1.0,140.0,73.0,1.16828648257,-3.90092991104,22.6557925209,-1.33491283552,21.6022432419,0.40000000596,0.0,0.370000004768
21.5,1.1,140.0,67.0,1.16220500892,-3.63027105251,23.4181257998,-1.20354844338,22.5778408936,0.40000000596,0.0,0.360000014305
23.0,1.2,140.0,62.0,1.15486167784,-3.38267436622,24.3118924004,-0.986725932663,23.5371947263,0.40000000596,0.0,0.360000014305
24.5,1.2,140.0,57.0,1.1489150147,-3.08221762564,24.9193303123,-0.756593457484,24.5801605446,0.40000000596,0.0,0.360000014305
26.0,1.3,140.0,53.0,1.14281451192,-2.85934116021,25.4446229044,-0.504329653815,25.4205499794,0.40000000596,0.0,0.360000014305
27.5,1.4,140.0,49.0,1.13575103428,-2.65309798516,26.0453571056,-0.286144933626,25.3670309677,0.40000000596,0.0,0.360000014305
29.0,1.5,230.0,45.0,1.13006924994,-2.41284076144,26.5875785482,-0.250346712504,25.5508336718,0.40000000596,0.0,0.360000014305
28.0,1.3,230.0,49.0,1.13324843187,-2.2064753733,26.5930335612,-0.184442712226,25.8202552233,0.389999985695,0.0,0.34999999404
27.0,1.2,230.0,52.0,1.13700406339,-2.14543012299,26.46070126,-0.104966577017,25.9429728075,0.389999985695,0.0,0.34999999404
26.0,1.0,230.0,56.0,1.14047461893,-2.14196483359,26.2805030709,-0.0624059301337,25.9736125915,0.389999985695,0.0,0.34999999404
25.0,0.8,230.0,60.0,1.14408737929,-2.16084544761,26.0572063383,-0.0426540806201,25.5610119671,0.389999985695,0.0,0.34999999404
24.0,0.7,230.0,64.0,1.14783261802,-2.19652035499,25.8510304441,-0.116732078004,25.1336686145,0.389999985695,0.0,0.34999999404
23.0,0.5,50.0,69.0,1.15137052241,-2.22609213038,25.604317697,-0.203654796884,24.9226916094,0.409999996424,0.0,0.379999995232
22.4,0.5,50.0,71.0,1.15388622415,-2.26679406289,24.9149994542,-0.252501120552,24.9501698803,0.409999996424,0.0,0.379999995232
21.8,0.5,50.0,73.0,1.15761377202,-2.46041033291,24.5064767927,-0.252098127723,24.6357983717,0.409999996424,0.0,0.379999995232
21.2,0.6,50.0,75.0,1.16019161282,-2.58323848182,24.1352355647,-0.324767082477,24.4766310672,0.409999996424,0.0,0.379999995232
20.6,0.6,50.0,78.0,1.16369567553,-2.69803934188,23.8345076178,-0.368021238664,24.1560435798,0.409999996424,0.0,0.379999995232
19.9,0.6,50.0,80.0,1.16687601664,-2.7940431242,23.3954348562,-0.442756148184,23.8472103217,0.409999996424,0.0,0.379999995232
19.3,0.6,50.0,83.0,1.17047180182,-2.94597294745,23.0495395871,-0.52041412221,23.5944378321,0.409999996424,0.0,0.389999985695
18.7,0.7,50.0,85.0,1.17317882712,-3.06766581014,22.6167644981,-0.586937819101,23.4507899845,0.419999986887,0.0,0.389999985695
18.1,0.7,50.0,88.0,1.17685649709,-3.22570797635,22.2852225991,-0.633982040661,23.0330563853,0.419999986887,0.0,0.389999985695
17.5,0.7,50.0,91.0,1.17937958809,-3.35435188343,21.855120715,-0.736428873588,22.7410413599,0.419999986887,0.0,0.389999985695
19.0,1.0,50.0,84.0,1.17182239676,-3.51031952847,22.8246263806,-0.800343713875,22.6585893969,0.419999986887,0.0,0.389999985695
20.5,1.2,50.0,79.0,1.16513042579,-3.22390939576,23.4187036664,-0.807175289925,22.1580383494,0.419999986887,0.0,0.389999985695
22.0,1.5,180.0,73.0,1.15891382483,-3.02498964597,24.3546444697,-0.891009266006,23.4590955649,0.40000000596,0.0,0.360000014305
23.5,1.8,180.0,68.0,1.15142069476,-2.73189064744,25.1778248721,-0.623593825125,24.423460977,0.389999985695,0.0,0.360000014305
25.0,2.0,180.0,64.0,1.14494319508,-2.45319057154,26.0498312701,-0.397433130266,25.2364906494,0.389999985695,0.0,0.34999999404
26.5,2.3,180.0,60.0,1.13746703655,-2.15046976921,26.3663867685,-0.191151275203,25.7241853129,0.389999985695,0.0,0.34999999404
28.0,2.6,180.0,56.0,1.13134221428,-2.0014434519,26.7944414649,-0.04572962769,25.8937530666,0.389999985695,0.0,0.360000014305
29.5,2.8,180.0,52.0,1.1254206008,-1.81909346293,27.1446924353,0.0167613614247,26.5566579346,0.40000000596,0.0,0.360000014305
31.0,3.1,140.0,49.0,1.11806409533,-1.68329885292,28.8573332865,0.172241790869,31.5873799498,0.389999985695,0.0,0.360000014305
30.0,3.4,140.0,51.0,1.12333304745,-1.10545098998,28.9659652178,1.26252475712,31.5691603854,0.389999985695,0.0,0.34999999404
29.0,3.8,140.0,52.0,1.12798684554,-1.00339138164,29.1326069476,1.32428229062,31.2728926205,0.379999995232,0.0,0.34999999404
28.0,4.1,140.0,55.0,1.13177981751,-0.918441129745,28.8505181373,1.28319996228,29.8982997273,0.379999995232,0.0,0.340000003576
27.0,4.4,140.0,57.0,1.13609434882,-0.976748633905,28.2914487879,1.01924284679,28.6418514393,0.379999995232,0.0,0.34999999404
26.0,4.8,140.0,59.0,1.14162894679,-1.12665022472,27.6452652941,0.759405087885,27.0092756099,0.379999995232,0.0,0.34999999404
