Hora,Temperature,Wind_Speed,Wind_Direction,Humidity,Air_Density,Rain_Status,Solteiro_PMV,Solteiro_Temp,Circulacao_PMV,Circulacao_Temp,JanelaCasalNorte,PortaCasalOeste,JanelaCasalOeste
12.0,26.0,1.3,140.0,53.0,1.14281451192,0.0,-2.98579662056,24.9782009713,-0.509899415254,25.4078472617,0.509999990463,0.0,0.5
13.0,27.5,1.4,140.0,49.0,1.13575103428,0.0,-2.82793689613,25.2535314992,-0.293719550041,25.3993307274,0.509999990463,0.0,0.5
14.0,29.0,1.5,230.0,45.0,1.13006924994,0.0,-2.6939200526,25.4631081467,-0.248291419236,25.5769390082,0.509999990463,0.0,0.490000009537
15.0,28.0,1.3,230.0,49.0,1.13324843187,0.0,-2.58988309986,25.7165275831,-0.182474982602,25.8570753695,0.509999990463,0.0,0.490000009537
16.0,27.0,1.2,230.0,52.0,1.13700406339,0.0,-2.47590903335,25.9524417563,-0.100328259374,25.9467898438,0.509999990463,0.0,0.490000009537
17.0,26.0,1.0,230.0,56.0,1.14047461893,0.0,-2.36448948659,26.0012686528,-0.0641054067672,25.9671813483,0.509999990463,0.0,0.490000009537
18.0,25.0,0.8,230.0,60.0,1.14408737929,0.0,-2.2774370092,25.3566650461,-0.0481829720632,25.5510670042,0.509999990463,0.0,0.490000009537
19.0,24.0,0.7,230.0,64.0,1.14783261802,0.0,-2.42450175083,24.6087989655,-0.122470914064,25.1292814155,0.509999990463,0.0,0.490000009537
20.0,23.0,0.5,50.0,69.0,1.15137052241,0.0,-2.61900129629,23.9654956545,-0.208308102613,24.9150057091,0.509999990463,0.0,0.5
21.0,22.4,0.5,50.0,71.0,1.15388622415,0.0,-2.7827578403,24.119691669,-0.257680621472,24.8875674582,0.509999990463,0.0,0.5
22.0,21.8,0.5,50.0,73.0,1.15761377202,0.0,-2.73400358747,23.6856718977,-0.26792699018,24.5776829392,0.509999990463,0.0,0.5
23.0,21.2,0.6,50.0,75.0,1.16019161282,0.0,-2.86406255774,23.2475939337,-0.339896615094,24.4126225389,0.509999990463,0.0,0.5
0.0,20.6,0.6,50.0,78.0,1.16369567553,0.0,-3.00182556818,22.8823655239,-0.38460491217,24.0860618822,0.509999990463,0.0,0.5
1.0,19.9,0.6,50.0,80.0,1.16687601664,0.0,-3.11888429544,22.3791851715,-0.460676933152,23.770250822,0.509999990463,0.0,0.5
2.0,19.3,0.6,50.0,83.0,1.17047180182,0.0,-3.29344981902,21.9656782329,-0.540053594729,23.5122780451,0.509999990463,0.0,0.5
3.0,18.7,0.7,50.0,85.0,1.17317882712,0.0,-3.43791696285,21.4660385037,-0.607873242823,23.3649330897,0.509999990463,0.0,0.5
4.0,18.1,0.7,50.0,88.0,1.17685649709,0.0,-3.62025913778,21.0861350182,-0.656031132794,22.9402223016,0.509999990463,0.0,0.5
5.0,17.5,0.7,50.0,91.0,1.17937958809,0.0,-3.76665085723,20.6229954635,-0.760196823946,22.6474743013,0.509999990463,0.0,0.5
6.0,19.0,1.0,50.0,84.0,1.17182239676,0.0,-3.93725218726,20.7189921102,-0.824520464725,22.6463289844,0.509999990463,0.0,0.5
7.0,20.5,1.2,50.0,79.0,1.16513042579,0.0,-3.91887849362,21.611688835,-0.815247380243,22.1406200518,0.509999990463,0.0,0.5
8.0,22.0,1.5,180.0,73.0,1.15891382483,0.0,-3.63625118318,23.1442643461,-0.899602664781,23.4437079976,0.509999990463,0.0,0.5
9.0,23.5,1.8,180.0,68.0,1.15142069476,0.0,-3.16486209335,24.2423515157,-0.631543620515,24.4084823418,0.509999990463,0.0,0.5
10.0,25.0,2.0,180.0,64.0,1.14494319508,0.0,-2.79946545925,25.4252896843,-0.405150137308,25.2292192003,0.509999990463,0.0,0.5
11.0,26.5,2.3,180.0,60.0,1.13746703655,0.0,-2.40315148175,25.9306824111,-0.197142110677,25.7146094377,0.509999990463,0.0,0.5
12.0,28.0,2.6,180.0,56.0,1.13134221428,0.0,-2.21215381214,25.9977533219,-0.0501924020118,25.8982319174,0.509999990463,0.0,0.5
13.0,29.5,2.8,180.0,52.0,1.1254206008,0.0,-2.15492321173,25.9944448581,0.0152545893338,26.635035658,0.509999990463,0.0,0.5
14.0,31.0,3.1,140.0,49.0,1.11806409533,0.0,-2.13086412145,25.9823382743,0.185466697043,31.7548780243,0.509999990463,0.0,0.5
15.0,30.0,3.4,140.0,51.0,1.12333304745,0.0,-2.09807179685,25.99580141,1.29511850949,31.6510575603,0.509999990463,0.0,0.5
16.0,29.0,3.8,140.0,52.0,1.12798684554,0.0,-2.04609373462,25.9801983671,1.33960981061,31.3069942907,0.509999990463,0.0,0.5
17.0,28.0,4.1,140.0,55.0,1.13177981751,0.0,-2.0171027395,26.0309488895,1.28877199595,29.9366526929,0.509999990463,0.0,0.5
18.0,27.0,4.4,140.0,57.0,1.13609434882,0.0,-1.97445516271,25.9966696271,1.02550641375,28.6376753184,0.509999990463,0.0,0.5
19.0,26.0,4.8,140.0,59.0,1.14162894679,0.0,-1.95851019476,25.9963447222,0.757322564296,26.9818461368,0.509999990463,0.0,0.5
20.0,25.0,5.1,90.0,61.0,1.1460543035,0.0,-1.92414462341,25.9564503875,0.411822672064,25.8161385066,0.509999990463,0.0,0.5
21.0,24.2,4.8,90.0,63.0,1.14948780551,0.0,-1.92138301615,25.8979630123,0.155417776934,25.1503140345,0.509999990463,0.0,0.5
22.0,23.3,4.6,90.0,65.0,1.15465970037,0.0,-1.93683655247,25.2890601689,0.00338328393322,24.2391828621,0.509999990463,0.0,0.5
23.0,22.5,4.3,90.0,68.0,1.15785723945,0.0,-2.13050339452,25.1386853585,-0.210405883226,23.9072667307,0.509999990463,0.0,0.5
0.0,22.2,3.8,90.0,72.0,1.15462636059,0.0,-2.18446342986,24.825522978,-0.30701982414,23.4882401042,0.509999990463,0.0,0.5
1.0,22.0,3.4,90.0,76.0,1.15561611471,0.0,-2.26651244308,24.8508796514,-0.395424006036,23.4845408584,0.509999990463,0.0,0.5
2.0,21.7,2.9,90.0,81.0,1.15568879407,0.0,-2.25139549473,24.8035423321,-0.411028978082,23.3837490876,0.509999990463,0.0,0.5
3.0,21.4,2.4,90.0,85.0,1.15611223323,0.0,-2.23525299993,24.7731849435,-0.423439138958,23.5519913167,0.509999990463,0.0,0.5
4.0,21.0,2.6,90.0,88.0,1.158607397,0.0,-2.22002392758,24.5608886959,-0.398404064494,23.2336374296,0.509999990463,0.0,0.5
5.0,20.6,2.9,90.0,91.0,1.15995300826,0.0,-2.27893908361,24.2582351475,-0.471440151746,22.7506511862,0.509999990463,0.0,0.5
6.0,21.2,2.6,90.0,89.0,1.15601802743,0.0,-2.37026001399,24.5158824451,-0.570503946044,23.8907807784,0.509999990463,0.0,0.5
7.0,21.8,2.4,90.0,87.0,1.15329280826,0.0,-2.29670595192,23.963509533,-0.356585576043,22.915107074,0.509999990463,0.0,0.5
8.0,22.4,2.1,140.0,85.0,1.1505923425,0.0,-2.41449095977,24.5588507461,-0.513247088406,23.7213194161,0.509999990463,0.0,0.5
9.0,23.0,1.8,140.0,83.0,1.14791782887,0.0,-2.23349162961,24.8448592116,-0.355406408048,24.3441097397,0.509999990463,0.0,0.5
10.0,23.6,1.6,140.0,82.0,1.14492835051,0.0,-2.13223177095,25.0257785913,-0.2076025993,24.9224961507,0.509999990463,0.0,0.5
11.0,24.2,1.3,140.0,80.0,1.14229769046,0.0,-2.06016171336,25.1717204613,-0.0681109084291,25.2203819528,0.509999990463,0.0,0.5
12.0,24.8,1.0,140.0,78.0,1.13969654122,0.0,-1.98522631466,25.5435144433,0.0227504590345,25.5350139059,0.509999990463,0.0,0.5
13.0,25.4,0.8,140.0,77.0,1.13674751878,0.0,-1.84216435119,25.9906203771,0.120983147602,25.948304736,0.509999990463,0.0,0.5
14.0,26.0,0.5,140.0,75.0,1.13303198513,0.0,-1.67968542757,25.9930265249,0.225542279013,26.425511423,0.509999990463,0.0,0.5
15.0,25.6,0.6,140.0,77.0,1.13447195553,0.0,-1.74653803268,25.9889541736,0.330717837604,26.1784032514,0.509999990463,0.0,0.5
16.0,25.3,0.7,140.0,80.0,1.13500388809,0.0,-1.63493814263,25.9259114686,0.296687848427,26.163859693,0.509999990463,0.0,0.5
17.0,24.9,0.7,140.0,82.0,1.13650101661,0.0,-1.6105847128,25.5632323613,0.319686557531,25.8308687199,0.509999990463,0.0,0.5
18.0,24.5,0.8,140.0,85.0,1.13766227319,0.0,-1.70837246474,25.2882847718,0.269431343919,25.6550982707,0.509999990463,0.0,0.5
19.0,24.2,0.9,140.0,87.0,1.13747597501,0.0,-1.77269102663,25.3667279673,0.232694447185,25.81467759,0.509999990463,0.0,0.5
20.0,23.8,1.0,140.0,90.0,1.13870217507,0.0,-1.73535807907,25.2012134375,0.253970377772,25.7708617343,0.509999990463,0.0,0.5
21.0,23.8,1.1,140.0,89.0,1.13904825461,0.0,-1.76754460793,25.7126059266,0.239422984459,26.0492926319,0.509999990463,0.0,0.5
22.0,23.8,1.2,140.0,87.0,1.13974041369,0.0,-1.62129774262,25.6603907624,0.291456982639,26.0830044969,0.509999990463,0.0,0.5
23.0,23.8,1.3,140.0,85.0,1.14043257276,0.0,-1.64921807286,25.749336355,0.288227933041,26.1131399296,0.509999990463,0.0,0.5
0.0,23.8,1.4,140.0,84.0,1.1407786523,0.0,-1.63871830521,25.831158668,0.269268892373,26.1758610164,0.509999990463,0.0,0.5
1.0,23.8,1.4,140.0,82.0,1.14147081138,0.0,-1.62096567997,25.7796342704,0.264056077936,26.1930799182,0.509999990463,0.0,0.5
2.0,23.8,1.5,140.0,80.0,1.14216297046,0.0,-1.6512569425,25.8213699506,0.261035243203,26.1528544094,0.509999990463,0.0,0.5
3.0,23.8,1.6,140.0,79.0,1.14250904999,0.0,-1.65728775537,25.9671670163,0.238221780571,26.1919791195,0.509999990463,0.0,0.5
4.0,23.8,1.7,140.0,77.0,1.14320120907,0.0,-1.62147365875,25.9975010451,0.22637750624,26.0206261051,0.509999990463,0.0,0.5
5.0,23.8,1.8,140.0,76.0,1.14354728861,0.0,-1.65154134818,26.0556762567,0.148011960621,25.5050244895,0.509999990463,0.0,0.5
6.0,24.3,1.9,140.0,73.0,1.14189280745,0.0,-1.64536229571,25.7267366258,0.0667796336665,25.2854299006,0.509999990463,0.0,0.5
7.0,24.9,2.0,140.0,69.0,1.14011975789,0.0,-1.75941721397,25.941692789,0.0244865315889,25.4878824915,0.509999990463,0.0,0.5
8.0,25.4,2.1,320.0,66.0,1.13857999632,0.0,-1.67341940567,25.8982092406,0.0981060617416,26.0363516058,0.509999990463,0.0,0.490000009537
9.0,25.9,2.2,320.0,63.0,1.13709359254,0.0,-1.67911477158,25.9982573656,0.222743568435,26.1294379012,0.509999990463,0.0,0.490000009537
10.0,26.5,2.3,320.0,60.0,1.13397864621,0.0,-1.65273264064,25.9980084482,0.254309526376,26.706752202,0.509999990463,0.0,0.490000009537
11.0,27.0,2.3,320.0,58.0,1.13219765468,0.0,-1.69376215147,25.9926968831,0.386210264131,26.915929183,0.509999990463,0.0,0.490000009537
12.0,27.5,2.4,320.0,55.0,1.13087885593,0.0,-1.69856795891,25.9907222856,0.453554919491,27.1478104722,0.509999990463,0.0,0.490000009537
13.0,28.1,2.5,320.0,52.0,1.12911373556,0.0,-1.69909218611,25.9852389127,0.513842579689,27.3040629657,0.509999990463,0.0,0.490000009537
14.0,28.6,2.6,270.0,50.0,1.12747370195,0.0,-1.69241753942,25.9944482429,0.55510349608,27.6723556023,0.509999990463,0.0,0.490000009537
15.0,27.9,2.4,270.0,53.0,1.12969395045,0.0,-1.70312785605,25.9865568954,0.641845203257,27.8764246789,0.509999990463,0.0,0.490000009537
16.0,27.3,2.2,270.0,55.0,1.13190436517,0.0,-1.70281938826,26.0007329717,0.69781832246,27.6854527656,0.509999990463,0.0,0.490000009537
17.0,26.6,2.0,270.0,57.0,1.13467266394,0.0,-1.69610267659,26.0018052954,0.668756925358,27.4490699734,0.509999990463,0.0,0.490000009537
18.0,25.9,1.9,270.0,60.0,1.13709707142,0.0,-1.6943381085,26.0062528473,0.616321107452,26.5354643281,0.509999990463,0.0,0.490000009537
19.0,25.3,1.7,270.0,63.0,1.13907226856,0.0,-1.56520726602,25.9969941056,0.433691303391,26.4903186362,0.509999990463,0.0,0.490000009537
20.0,24.6,1.5,320.0,66.0,1.14163636434,0.0,-1.53985976711,25.5330287522,0.418685620153,26.1627046914,0.509999990463,0.0,0.490000009537
21.0,24.1,1.7,320.0,70.0,1.14285510263,0.0,-1.66620803386,25.828557121,0.342912025029,26.4126641477,0.509999990463,0.0,0.490000009537
22.0,23.5,2.0,320.0,75.0,1.14551544466,0.0,-1.56060318955,25.2609215187,0.39275391555,26.1366666067,0.509999990463,0.0,0.490000009537
23.0,23.0,2.2,320.0,81.0,1.14622606961,0.0,-1.70755534198,24.8820451646,0.336050441956,25.8788053888,0.509999990463,0.0,0.490000009537
0.0,22.4,2.4,320.0,86.0,1.14555714567,0.0,-1.79861819891,24.3953840409,0.28585504237,25.3504388329,0.509999990463,0.0,0.490000009537
1.0,22.1,2.7,320.0,85.0,1.14871305382,0.0,-1.9399422336,24.0571147818,0.195089336925,25.0477769244,0.509999990463,0.0,0.490000009537
2.0,21.7,2.9,320.0,85.0,1.15091615929,0.0,-2.08902692174,23.6772346395,0.110203802896,24.7490535854,0.509999990463,0.0,0.490000009537
3.0,21.3,3.1,320.0,84.0,1.15341144064,0.0,-2.25039157246,23.2925718002,0.0192968914796,24.4386605114,0.509999990463,0.0,0.490000009537
4.0,20.9,3.4,320.0,83.0,1.15707044614,0.0,-2.42526463035,22.8674318268,-0.0784481519218,24.088125363,0.509999990463,0.0,0.490000009537
5.0,20.5,3.6,320.0,83.0,1.15923930497,0.0,-2.61716613626,22.4814476326,-0.188444364087,23.7681756337,0.509999990463,0.0,0.490000009537
6.0,21.7,3.4,320.0,79.0,1.15393906874,0.0,-2.78231097519,23.4431342718,-0.28133857669,24.2161990691,0.509999990463,0.0,0.490000009537
7.0,22.8,3.3,320.0,77.0,1.14863102827,0.0,-2.49717352571,24.2516287817,-0.195909795632,24.5937972974,0.509999990463,0.0,0.490000009537
8.0,24.0,3.1,360.0,74.0,1.14198715933,0.0,-2.22737128304,24.5432426719,-0.0920326898296,24.7773437187,0.509999990463,0.0,0.490000009537
9.0,25.2,2.9,360.0,71.0,1.13659842546,0.0,-2.11342154031,25.5402770328,-0.0284336986304,25.7478416626,0.509999990463,0.0,0.490000009537
10.0,26.3,2.8,360.0,68.0,1.13183303106,0.0,-1.78294995158,25.992415981,0.192326611857,26.4636475174,0.509999990463,0.0,0.490000009537
11.0,27.5,2.6,360.0,66.0,1.12503700676,0.0,-1.67622915243,25.9905057577,0.361554859797,26.9506996675,0.509999990463,0.0,0.490000009537
12.0,28.7,2.4,360.0,63.0,1.11990306973,0.0,-1.67051929552,25.9953574463,0.49855652812,27.3527993104,0.509999990463,0.0,0.490000009537
13.0,29.8,2.3,360.0,61.0,1.11378081174,0.0,-1.65552245601,25.9966426967,0.620405072159,27.6404614455,0.509999990463,0.0,0.490000009537
14.0,31.0,2.1,140.0,59.0,1.10833120618,0.0,-1.63684895177,25.983830952,0.717145036717,30.1123238545,0.509999990463,0.0,0.5
15.0,30.2,2.0,140.0,62.0,1.1111357082,0.0,-1.63601899708,26.0187389364,1.22875356515,29.2518526726,0.509999990463,0.0,0.5
16.0,29.3,1.9,140.0,66.0,1.11411027897,0.0,-1.61992033221,26.0119506682,1.08329542807,28.8015051896,0.509999990463,0.0,0.5
17.0,28.5,1.8,140.0,70.0,1.11667278495,0.0,-1.61725105962,25.9967444017,1.00538300373,28.273632429,0.509999990463,0.0,0.5
18.0,27.7,1.7,140.0,74.0,1.11935725231,0.0,-1.61539163746,25.9973681884,0.917859529906,27.9058318492,0.509999990463,0.0,0.5
19.0,26.8,1.6,140.0,79.0,1.12230958134,0.0,-1.60613169405,25.9960336546,0.8477226226,28.2419507488,0.509999990463,0.0,0.5
20.0,26.0,1.5,140.0,84.0,1.12484756589,0.0,-1.59890687212,26.1297690642,0.898386005555,27.4519679499,0.509999990463,0.0,0.5
21.0,25.1,1.5,140.0,85.0,1.13075478266,0.0,-1.43445111803,25.9510375746,0.721859706141,27.5229793667,0.509999990463,0.0,0.5
22.0,24.2,1.4,140.0,87.0,1.135132393,0.0,-1.40707649682,26.0097207812,0.753224061894,27.000057003,0.509999990463,0.0,0.5
23.0,23.3,1.4,140.0,89.0,1.14071005057,0.0,-1.31539863085,25.6141633908,0.665199901824,26.5351940902,0.509999990463,0.0,0.5
0.0,22.4,1.4,140.0,91.0,1.14631756902,0.0,-1.43669906185,24.8857675915,0.564557849646,26.2156639723,0.509999990463,0.0,0.5
1.0,21.6,1.3,140.0,92.0,1.1505121834,0.0,-1.69516323066,24.408327315,0.470524231026,25.7018442181,0.509999990463,0.0,0.5
2.0,20.7,1.3,140.0,94.0,1.1561561148,0.0,-1.89282618925,23.7646754421,0.327188109708,25.2794364253,0.509999990463,0.0,0.5
3.0,19.8,1.3,140.0,96.0,1.16182571881,0.0,-2.14350880154,23.1108553479,0.205469090353,24.8463706435,0.509999990463,0.0,0.5
4.0,18.9,1.2,140.0,98.0,1.16632656668,0.0,-2.40551300045,22.4281742668,0.0801903500821,24.3813138017,0.509999990463,0.0,0.5
5.0,18.0,1.2,140.0,100.0,1.1720398493,0.0,-2.68212163428,21.7489241824,-0.0536990528622,23.9289413427,0.509999990463,0.0,0.5
6.0,19.0,1.3,140.0,100.0,1.16643583384,0.0,-2.95668163931,22.577245573,-0.181557843042,24.3498759348,0.509999990463,0.0,0.5
7.0,20.0,1.4,140.0,99.0,1.15987028309,0.0,-2.69911884545,23.1585776659,-0.101848476494,23.7076522747,0.509999990463,0.0,0.5
8.0,21.0,1.5,90.0,94.0,1.15565481558,0.0,-2.49585286636,23.094918398,-0.189339175657,23.751246068,0.509999990463,0.0,0.5
9.0,22.0,1.6,90.0,90.0,1.15124503738,0.0,-2.52322322139,23.972882102,-0.186573455654,24.253348801,0.509999990463,0.0,0.5
