Hora,Temperature,Wind_Speed,Wind_Direction,Humidity,Air_Density,Rain_Status,Casal_PMV,Casal_Temp,Circulacao_PMV,Circulacao_Temp,JanelaCasalNorte,PortaCasalOeste,JanelaCasalOeste
3.0,17.2,2.2,270.0,77.0,1.18430599606,0.0,-4.52051318913,20.5479011578,-1.41008119813,21.7777981966,0.449999988079,0.0,0.439999997616
4.0,17.1,2.3,270.0,77.0,1.18482855406,0.0,-4.56248799259,21.6676192704,-1.42770765519,22.542587371,0.449999988079,0.0,0.439999997616
5.0,17.0,2.4,270.0,77.0,1.18535083639,0.0,-4.23274898192,21.9545938912,-1.28871583188,22.7969946309,0.449999988079,0.0,0.439999997616
6.0,18.0,2.3,270.0,73.0,1.1811034955,0.0,-4.14883701044,21.9985373741,-1.22403024131,22.732582379,0.449999988079,0.0,0.439999997616
7.0,19.0,2.2,270.0,68.0,1.17720895969,0.0,-4.12738840545,21.4159243928,-1.21675055002,20.7968845702,0.449999988079,0.0,0.439999997616
8.0,20.0,2.1,90.0,64.0,1.17197693047,0.0,-4.29589913647,22.3481694727,-1.58103519455,21.1350528793,0.449999988079,0.0,0.439999997616
9.0,21.0,2.0,90.0,60.0,1.16804280174,0.0,-4.00916538498,22.9187013034,-1.50316190005,22.3379800718,0.449999988079,0.0,0.439999997616
10.0,22.0,1.9,90.0,57.0,1.16390934179,0.0,-3.82461197372,23.4790482889,-1.24933775984,23.4075245873,0.449999988079,0.0,0.439999997616
11.0,23.0,1.8,90.0,53.0,1.15901415221,0.0,-3.62968980605,23.8410907417,-1.00354930172,24.2693802587,0.449999988079,0.0,0.439999997616
12.0,24.0,1.7,90.0,50.0,1.15507819642,0.0,-3.49126745454,24.2151612824,-0.790484898412,24.4176019639,0.449999988079,0.0,0.439999997616
13.0,25.0,1.6,90.0,47.0,1.15123947612,0.0,-3.34332290736,24.6270895587,-0.71549779039,24.7241372831,0.449999988079,0.0,0.439999997616
14.0,26.0,1.5,90.0,45.0,1.14594825246,0.0,-3.18299536706,25.0481063613,-0.612627597369,24.6337918007,0.449999988079,0.0,0.439999997616
